"prestamo.numprestamo","prestamo.numsucursal","prestamo.importe","prestamo.fecha"
"P-01572","70","45121.48","Sun Feb 10 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01576","20","12255.48","Fri Apr 20 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01587","20","140035.43","Fri Apr 13 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01588","146","23967.98","Tue Mar 19 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01596","64","117418.98","Mon Aug 11 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01598","169","109275.67","Fri Jun 21 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01602","101","103449.34","Tue Aug 06 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01622","22","89879.7","Sat Jul 06 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01623","142","113329.71","Mon May 14 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01626","70","4898.87","Sun Sep 28 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01627","65","20358.47","Sun Jan 26 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-01629","70","17334.76","Mon Mar 18 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01637","73","25256.35","Sun Apr 20 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01638","37","121228.62","Tue Sep 25 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01648","68","37670.84","Fri Mar 14 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-01652","169","18152.05","Thu May 02 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01654","169","39173.08","Sun Feb 05 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-01663","52","66513.13","Tue Oct 01 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01668","146","67185.17","Tue May 08 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01672","20","69788.37","Tue Dec 23 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-01673","25","57212.17","Fri Oct 05 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01679","37","70502.86","Thu Apr 04 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01698","85","132129.92","Sun Oct 27 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01702","20","11828.65","Fri Sep 13 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01705","146","24903.08","Tue Apr 09 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01708","65","2209.41","Fri Jul 13 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01716","121","49201.85","Mon Feb 06 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-01723","101","137360.57","Sun Dec 22 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01725","154","13895.83","Thu Jul 24 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01730","89","35214.24","Wed Nov 28 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-01737","34","104835.8","Wed Jul 23 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01744","165","45513.8","Thu May 10 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01757","146","80052.18","Sun Nov 11 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-01758","169","28030.54","Sun Apr 15 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01762","16","34843.25","Thu Jul 12 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01763","142","128802.11","Mon May 12 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01764","126","60719.39","Fri Jan 04 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01774","70","134774.34","Thu Sep 13 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01781","121","116479.28","Tue Aug 07 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01786","89","96160.03","Thu Oct 25 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01790","74","35714.35","Mon Sep 02 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01792","119","86521.87","Thu Sep 18 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01795","70","3480.2","Fri Mar 09 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-01800","121","82765.49","Fri Nov 15 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01802","25","12090.72","Thu Jun 26 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01804","26","102785.34","Mon Mar 18 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01812","119","116637.12","Wed Aug 07 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01819","169","39654.18","Sat Jul 28 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01831","23","130628.4","Wed Sep 18 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01833","25","88341.56","Sat Oct 11 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01846","16","146037.34","Sat Oct 20 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01849","37","89115.03","Fri Oct 04 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01854","92","17928.36","Sun Mar 04 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-01862","65","63726.16","Wed Feb 26 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-01866","64","136721.45","Fri Sep 07 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01868","65","104337.47","Thu Feb 07 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01883","126","18206.46","Fri Jul 11 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01886","66","11406.87","Sun Mar 25 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-01887","92","13727.47","Fri Oct 12 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01911","16","60666.75","Fri Feb 15 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01912","64","91076.26","Sat Oct 06 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01916","25","12945.25","Fri Apr 19 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-01917","152","52853.96","Mon May 14 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01920","68","41785.73","Sat Dec 07 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01924","23","135058.72","Sun Mar 31 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01926","121","137230.65","Wed Oct 24 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01932","64","2772.1","Mon Oct 06 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01937","73","125872.78","Sat Jan 21 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-01941","126","124199.15","Thu Mar 20 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-01943","26","96927.64","Wed Jan 25 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-01947","52","96330.44","Thu Nov 07 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01955","169","29787.7","Wed May 28 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-01956","51","46399.6","Fri Sep 21 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-01958","66","62777.26","Sat Mar 09 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-01973","146","4714.78","Mon Oct 27 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-01987","23","16261.15","Tue Feb 14 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-01996","25","138025.82","Thu May 31 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02000","146","49662.18","Wed Oct 16 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02018","74","36909.14","Wed Dec 17 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-02020","68","47988.52","Sat Aug 11 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02028","154","77603.85","Sun Jul 21 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02040","68","134273.14","Sat Aug 10 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02043","119","130589.5","Sat Nov 30 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-02052","37","76566.96","Thu Dec 04 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-02055","142","37807.76","Thu Oct 10 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02056","26","86582.58","Wed Aug 07 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02060","142","13462.95","Sun Jan 22 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-02063","89","16792.46","Sun Jul 08 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02069","142","137591.67","Thu Mar 13 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-02080","70","13334.61","Wed Jul 25 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02091","37","85432.28","Tue Dec 03 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-02092","70","91481.1","Sat Mar 23 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-02094","4","107446.82","Fri Oct 26 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02104","148","102836.99","Sat Sep 14 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02109","146","84388.42","Thu May 22 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02112","26","82795.2","Sat Apr 26 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02115","85","128430.26","Sat Jan 07 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-02126","85","78362.79","Sat Jul 06 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02129","125","149192.89","Wed Feb 01 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-02135","125","139974.94","Sun Aug 31 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02142","25","121341.31","Mon Aug 27 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02156","92","16390.25","Wed Aug 08 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02162","165","113553.37","Fri Mar 01 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-02163","66","107651.17","Fri Nov 21 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-02169","101","88345.9","Mon Mar 10 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-02172","101","55150.51","Sat May 10 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02177","51","2003.57","Sun Oct 21 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02178","153","46796.07","Wed Oct 17 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02186","165","8754.37","Mon May 12 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02189","154","150826.37","Wed Jan 04 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-02191","187","142083.9","Sun Nov 25 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-02193","89","71908.11","Tue Sep 17 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02197","165","117000.27","Mon Jun 17 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02202","89","131802.18","Sun Jun 16 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02209","73","145167.16","Mon Sep 22 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02215","101","55871.29","Tue Apr 08 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02217","101","28351.66","Mon Apr 08 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02229","22","94536.35","Sun Sep 22 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02240","141","113100.29","Sun Sep 22 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02249","165","124310.04","Sat Dec 20 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-02251","101","91305.82","Mon Aug 25 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02252","165","65934.06","Wed Apr 16 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02255","65","23552.62","Fri Nov 01 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-02258","70","107943.5","Thu Jun 07 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02266","34","119343.64","Tue Jul 01 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02283","74","145838.12","Mon Oct 15 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02293","101","79235.36","Wed Jan 29 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-02295","34","111537.19","Thu Mar 08 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-02298","20","72607.55","Sat Nov 24 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-02301","146","98744.7","Fri Aug 16 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02302","66","74809.88","Fri Oct 18 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02304","85","57473.35","Thu Feb 16 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-02306","187","7984.01","Wed Sep 19 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02313","74","99049.4","Mon Apr 09 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02315","26","134099.29","Sun Mar 16 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-02319","169","68573.7","Sun Dec 21 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-02330","65","98170.56","Fri May 03 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02340","121","142745.53","Mon Apr 14 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02357","125","132913.67","Thu Nov 13 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-02358","66","98358.49","Wed Jul 25 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02365","148","126934.85","Fri Feb 22 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-02366","16","71826.18","Sun Sep 29 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02372","141","47366.48","Sat Sep 20 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02381","152","50512.68","Tue Oct 15 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02385","52","77684.55","Sun Mar 23 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-02389","142","47733.61","Wed Sep 11 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02399","20","22522.94","Mon Dec 24 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-02401","154","52261.89","Tue Apr 16 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02407","23","122605.93","Mon Jun 23 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02413","4","67519.39","Tue Dec 30 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-02417","152","54394","Thu Jul 24 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02420","74","58117.35","Sun Jun 24 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02424","148","89556.26","Sat Aug 31 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02426","141","119241.2","Sun Mar 02 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-02428","101","108413.42","Fri Jun 06 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02429","165","73168.76","Sat Jul 20 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02431","73","149063.51","Mon Mar 05 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-02438","152","15496.28","Thu Jan 26 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-02444","187","90234.07","Sat Jul 21 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02445","74","58765.42","Wed Dec 18 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-02450","37","50297.88","Mon Nov 19 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-02451","25","56211.83","Fri Sep 20 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02454","52","51666.65","Mon Sep 03 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02478","153","126894.27","Tue Jan 22 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-02494","119","5201.34","Mon Oct 07 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02496","165","138972.01","Wed Nov 13 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-02503","73","8140.8","Thu Jan 16 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-02507","153","39122.56","Sat Nov 30 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-02511","92","106761.26","Sat Dec 28 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-02516","37","7863.32","Fri Mar 01 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-02522","73","60810.1","Sun Sep 01 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02529","101","77371.78","Sat Jun 01 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02537","141","90636.76","Fri Dec 14 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-02539","34","90514.78","Thu Nov 08 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-02543","20","101575.76","Tue Nov 06 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-02551","74","3281.95","Fri Aug 10 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02552","73","138506.3","Mon Jan 30 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-02553","66","36399.75","Thu May 24 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02555","52","110260.99","Sat Dec 29 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-02569","22","40468.88","Fri May 11 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02573","101","79454.29","Sat Apr 27 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02575","148","117596.82","Sat Oct 18 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02577","169","99305.35","Thu Nov 22 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-02586","65","76926.09","Tue Apr 30 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02589","153","131161.12","Sat Aug 09 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02599","34","47495.05","Wed Feb 01 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-02604","26","68969.51","Thu Oct 18 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02609","16","12893.05","Wed Oct 02 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02628","65","124776.17","Thu Jul 03 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02655","34","93043.05","Wed Feb 29 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-02660","187","86214.15","Tue Oct 28 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-02662","89","71148.08","Sun Jun 08 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02672","20","7152.43","Tue Feb 19 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-02678","37","145840.94","Sat Oct 04 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02683","152","29350.8","Mon Mar 31 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-02684","85","49769.49","Fri Oct 17 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02687","22","66869.78","Fri Nov 01 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-02696","165","30265.59","Sat Aug 24 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02700","4","68903.36","Wed Oct 02 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02702","23","10766.19","Sat Jan 04 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-02718","66","53512.72","Sun May 12 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02726","187","66926.33","Sun Oct 26 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02728","4","108687.1","Thu Sep 12 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02745","85","107048.08","Fri Aug 02 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02749","146","19419.37","Sat Aug 03 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02753","74","59898.47","Wed Oct 08 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02767","51","114946.91","Sun Aug 25 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02772","92","84903.74","Fri Jul 20 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02779","153","106068.51","Thu Nov 15 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-02784","37","28162.97","Tue Jan 07 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-02807","92","46861.37","Tue Dec 03 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-02812","64","20622.47","Thu Oct 25 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02820","65","65859.5","Mon Apr 23 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02832","20","54745.97","Wed Oct 10 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02833","85","23019.19","Thu Dec 19 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-02838","154","104849.89","Thu Oct 25 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02839","37","15318.56","Mon Jan 21 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-02841","68","120947.4","Tue May 13 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02844","74","44212","Sun Jun 02 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02849","74","116463.38","Sun May 20 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02863","65","59156.01","Mon Feb 17 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-02883","34","147052.63","Fri Jun 15 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02889","154","88145.62","Thu Jul 04 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02892","26","120080.32","Thu Jul 24 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02894","52","46252.58","Fri Dec 21 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-02902","64","47286.64","Sat Oct 12 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02905","70","37291.2","Wed Nov 05 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-02913","73","112271.13","Sat Aug 10 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02923","20","145094.45","Sun Sep 28 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02926","169","32143.42","Fri Aug 23 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02930","16","14688.18","Sat Nov 23 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-02944","64","134183.8","Sun Oct 05 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02946","92","55896.18","Tue Feb 14 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-02952","153","114164.91","Tue Dec 10 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-02963","153","58757.52","Sat Oct 04 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02972","65","142361.2","Sat Sep 07 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02980","65","118203.77","Thu Jun 20 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-02986","146","121882.55","Mon Mar 19 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-02987","187","130047.97","Mon Jun 09 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-02993","92","139133.47","Sat May 12 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-02998","121","139133.66","Sun Jun 10 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-03011","126","13867.77","Mon Aug 25 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-03013","119","144890.9","Tue Aug 12 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-03015","119","118172.97","Thu Jun 20 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-03017","22","4039.42","Wed Dec 25 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-03018","146","8442.83","Sat Dec 22 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-03020","165","43637.16","Fri Jul 12 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-03021","121","112890.08","Wed Sep 25 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-03029","25","67092.04","Mon Feb 17 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-03032","126","77700.64","Wed Mar 27 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-03044","20","101347.75","Wed Jul 03 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-03049","34","55954.13","Tue Apr 30 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-03054","146","12165.56","Sun Mar 02 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-03059","126","125346.65","Sun Apr 06 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-03062","92","73385.69","Wed Dec 19 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-03068","73","114341.14","Tue Aug 06 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-03072","89","123731.57","Wed Jul 24 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-03074","20","112516.98","Sun Jul 08 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-03081","74","111316.71","Wed Feb 22 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-03082","20","40301.87","Mon Mar 10 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-03085","25","120954.25","Fri May 24 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-03101","141","108099.46","Sat Mar 08 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-03108","26","96753.18","Sun Oct 07 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-03110","68","95493.99","Tue Oct 29 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-03112","148","126094.91","Tue Dec 10 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-03120","74","116259.25","Thu Oct 30 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-03126","85","102352.01","Sat Feb 16 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-03132","154","66856.69","Sat Jun 08 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-03137","65","27238.48","Fri Jun 20 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-03139","142","40884.9","Fri Feb 15 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-03147","64","83850.47","Sun Dec 08 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-03157","25","35825.44","Fri May 30 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-03159","154","119631.69","Fri Sep 21 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-03170","70","108464.94","Wed May 16 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-03178","125","25801.91","Thu Jun 12 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-03183","52","106829.06","Sat Nov 01 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-03184","125","84500.69","Mon Jun 02 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-03186","142","1091.57","Wed Mar 19 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-03189","165","71029.75","Wed Apr 04 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-03193","165","146656.56","Wed Apr 02 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-03197","126","101339.96","Wed Jun 13 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-03204","119","86170.19","Fri Jul 26 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-03205","89","81525.61","Tue Feb 11 2014 00:00:00 GMT-0600 (hora estándar central)"
"P-03208","68","83162.9","Sat Sep 13 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-03216","187","118689.34","Sat Oct 05 2013 00:00:00 GMT-0500 (hora de verano central)"
"P-03222","125","64713.32","Mon Apr 23 2012 00:00:00 GMT-0500 (hora de verano central)"
"P-03223","169","54639.78","Fri Feb 03 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-03227","154","36856.46","Mon Oct 29 2012 00:00:00 GMT-0600 (hora estándar central)"
"P-03228","89","23096.17","Sat Jan 19 2013 00:00:00 GMT-0600 (hora estándar central)"
"P-03231","26","3066.43","Sat Sep 13 2014 00:00:00 GMT-0500 (hora de verano central)"
"P-03233","4","119298.61","Sun Aug 24 2014 00:00:00 GMT-0500 (hora de verano central)"
